,충전소명,충전소ID,충전기ID,충전기타입,주소,상세위치,이용가능시간,lat,long,기관 아이디,기관명,운영기관명,운영기관연락처,충전기상태,상태갱신일시,마지막 충전시작일시,마지막 충전종료일시,충전중 시작일시,,충전용량,충전방식,지역코드,지역구분 상세 코드,충전소 구분 코드,충전소 구분 상세코드,주차료무료,충전소 안내,이용자 제한,이용제한 사유,삭제 여부,삭제 사유
329,용인시청,ME174147,1,6,경기도 용인시 처인구 삼가동 556,,24시간 이용가능,37.2406659,127.1773752,ME,환경부,환경부,1661-9408,3,20220921203005.0,20220921164716.0,20220921171117.0,20220921202943.0,,50.0,단독,41,41460.0,A0,A001,N,,N,,N,
330,포곡읍사무소,ME174148,1,6,경기도 용인시 처인구 포곡읍 포곡로 258,,24시간 이용가능,37.2781004,127.2312587,ME,환경부,환경부,1661-9408,9,20220819184810.0,20220816191730.0,20220816192310.0,,,50.0,단독,41,41460.0,A0,A002,N,,N,,N,
346,죽전휴게소(서울방향),ME178002,1,6,경기도 용인시 수지구 경부고속도로 400 (죽전동),,24시간 이용가능,37.3320728,127.1048475,ME,환경부,환경부,1661-9408,2,20220921203504.0,20220921195503.0,20220921203503.0,,,50.0,단독,41,41460.0,C0,C001,Y,,N,,N,
347,죽전휴게소(서울방향),ME178002,2,6,경기도 용인시 수지구 경부고속도로 400 (죽전동),,24시간 이용가능,37.3320728,127.1048475,ME,환경부,환경부,1661-9408,3,20220921203123.0,20220921193800.0,20220921200656.0,20220921203122.0,,50.0,단독,41,41460.0,C0,C001,Y,,N,,N,
348,기흥휴게소(부산방향),ME178003,1,6,경기도 용인시 기흥구 공세로 173 (공세동),,24시간 이용가능,37.2356557,127.105021,ME,환경부,환경부,1661-9408,9,20220919154810.0,20220831082200.0,20220831084955.0,,,50.0,단독,41,41460.0,C0,C001,Y,,N,,N,
349,기흥휴게소(부산방향),ME178003,2,6,경기도 용인시 기흥구 공세로 173 (공세동),,24시간 이용가능,37.2356557,127.105021,ME,환경부,환경부,1661-9408,9,20220919154810.0,20220831074640.0,20220831081259.0,,,50.0,단독,41,41460.0,C0,C001,Y,,N,,N,
541,용인휴게소(강릉방향),ME178120,1,6,경기도 용인시 처인구 주북로94번길 30-1 (고림동),,24시간 이용가능,37.2458742,127.2429327,ME,환경부,환경부,1661-9408,2,20220921201441.0,20220921194809.0,20220921201440.0,,,50.0,단독,41,41460.0,C0,C001,Y,,N,,N,
542,용인휴게소(강릉방향),ME178120,2,6,경기도 용인시 처인구 주북로94번길 30-1 (고림동),,24시간 이용가능,37.2458742,127.2429327,ME,환경부,환경부,1661-9408,3,20220921201659.0,20220921193739.0,20220921201404.0,20220921201658.0,,50.0,단독,41,41460.0,C0,C001,Y,,N,,N,
543,용인휴게소(서창방향),ME178121,1,6,경기도 용인시 처인구 주북로 66-14 (고림동),,24시간 이용가능,37.2478126,127.2389965,ME,환경부,환경부,1661-9408,9,20220917184810.0,20220917153846.0,20220917161911.0,20220917180901.0,,50.0,단독,41,41460.0,C0,C001,Y,,N,,N,
544,용인휴게소(서창방향),ME178121,2,6,경기도 용인시 처인구 주북로 66-14 (고림동),,24시간 이용가능,37.2478126,127.2389965,ME,환경부,환경부,1661-9408,3,20220921201740.0,20220921195214.0,20220921201356.0,20220921201739.0,,50.0,단독,41,41460.0,C0,C001,Y,,N,,N,
626,용인시민체육공원,ME181118,1,6,,,07:30~19:00,37.247782,127.16471309,ME,환경부,환경부,1661-9408,9,20220915183810.0,20220606161209.0,20220606164302.0,,,50.0,단독,41,41460.0,J0,J007,Y,,N,,N,
627,용인시민체육공원,ME181118,2,6,,,07:30~19:00,37.247782,127.16471309,ME,환경부,환경부,1661-9408,2,20220921170418.0,20220921162325.0,20220921170416.0,,,50.0,단독,41,41460.0,J0,J007,Y,,N,,N,
628,용인시민체육공원,ME181118,11,4,,,07:30~19:00,37.247782,127.16471309,ME,환경부,환경부,1661-9408,2,20220921161857.0,20220921102820.0,20220921110252.0,,,100.0,동시,41,41460.0,J0,J007,Y,,N,,N,
629,용인시민체육공원,ME181118,51,4,,,07:30~19:00,37.247782,127.16471309,ME,환경부,환경부,1661-9408,2,20220921194846.0,20220921192801.0,20220921194845.0,,,100.0,동시,41,41460.0,J0,J007,Y,,N,,N,
1277,롯데마트 신갈점,ME183214,1,6,"경기도 용인시 기흥구 중부대로 375, 지하2층 10",,24시간 이용가능,37.2722536,127.1088814,ME,환경부,환경부,1661-9408,2,20220921183509.0,20220921174227.0,20220921174651.0,,,50.0,단독,41,41460.0,E0,E001,Y,,N,,N,
1278,롯데마트 신갈점,ME183214,2,4,"경기도 용인시 기흥구 중부대로 375, 지하2층 10",,24시간 이용가능,37.2722536,127.1088814,ME,환경부,환경부,1661-9408,2,20220921202504.0,20220921200248.0,20220921202459.0,,,100.0,동시,41,41460.0,E0,E001,Y,,N,,N,
