,날짜시간,연도,추석기준,통행량
0,2018-09-22 06:00:00,2018,D-2,140577
1,2018-09-22 12:00:00,2018,D-2,266439
2,2018-09-22 09:00:00,2018,D-2,230101
5,2018-09-22 23:00:00,2018,D-2,89008
6,2018-09-22 14:00:00,2018,D-2,283760
7,2018-09-22 22:00:00,2018,D-2,128098
8,2018-09-22 11:00:00,2018,D-2,272094
10,2018-09-22 21:00:00,2018,D-2,160124
11,2018-09-22 17:00:00,2018,D-2,287790
19,2018-09-22 04:00:00,2018,D-2,55734
20,2018-09-22 03:00:00,2018,D-2,45375
22,2018-09-22 02:00:00,2018,D-2,47431
25,2018-09-22 07:00:00,2018,D-2,174733
30,2018-09-22 18:00:00,2018,D-2,253535
32,2018-09-22 20:00:00,2018,D-2,179137
36,2018-09-22 01:00:00,2018,D-2,58863
43,2018-09-22 10:00:00,2018,D-2,257021
45,2018-09-22 19:00:00,2018,D-2,206286
46,2018-09-22 16:00:00,2018,D-2,296612
48,2018-09-22 15:00:00,2018,D-2,289739
58,2018-09-22 08:00:00,2018,D-2,202078
60,2018-09-22 05:00:00,2018,D-2,88672
68,2018-09-22 00:00:00,2018,D-2,80601
71,2018-09-22 13:00:00,2018,D-2,274229
72,2018-09-23 11:00:00,2018,D-1,312788
75,2018-09-23 02:00:00,2018,D-1,46926
77,2018-09-23 03:00:00,2018,D-1,44371
79,2018-09-23 07:00:00,2018,D-1,145497
82,2018-09-23 23:00:00,2018,D-1,72820
83,2018-09-23 10:00:00,2018,D-1,298724
89,2018-09-23 09:00:00,2018,D-1,249426
95,2018-09-23 04:00:00,2018,D-1,50410
96,2018-09-23 18:00:00,2018,D-1,231332
98,2018-09-23 22:00:00,2018,D-1,108563
102,2018-09-23 01:00:00,2018,D-1,58643
104,2018-09-23 21:00:00,2018,D-1,143655
105,2018-09-23 00:00:00,2018,D-1,86797
108,2018-09-23 16:00:00,2018,D-1,291064
116,2018-09-23 20:00:00,2018,D-1,166291
117,2018-09-23 13:00:00,2018,D-1,297035
118,2018-09-23 12:00:00,2018,D-1,309704
119,2018-09-23 19:00:00,2018,D-1,188193
122,2018-09-23 08:00:00,2018,D-1,191593
124,2018-09-23 15:00:00,2018,D-1,300251
130,2018-09-23 14:00:00,2018,D-1,302658
134,2018-09-23 17:00:00,2018,D-1,272001
137,2018-09-23 06:00:00,2018,D-1,108493
142,2018-09-23 05:00:00,2018,D-1,72666
144,2018-09-24 17:00:00,2018,D,414332
150,2018-09-24 02:00:00,2018,D,21144
153,2018-09-24 04:00:00,2018,D,25564
156,2018-09-24 18:00:00,2018,D,366716
161,2018-09-24 05:00:00,2018,D,55408
164,2018-09-24 03:00:00,2018,D,18735
166,2018-09-24 10:00:00,2018,D,338880
169,2018-09-24 09:00:00,2018,D,276085
170,2018-09-24 23:00:00,2018,D,150541
176,2018-09-24 11:00:00,2018,D,397817
178,2018-09-24 22:00:00,2018,D,206768
184,2018-09-24 08:00:00,2018,D,276730
190,2018-09-24 14:00:00,2018,D,429368
191,2018-09-24 00:00:00,2018,D,47040
194,2018-09-24 07:00:00,2018,D,270934
195,2018-09-24 12:00:00,2018,D,415193
200,2018-09-24 06:00:00,2018,D,149434
201,2018-09-24 20:00:00,2018,D,279162
205,2018-09-24 16:00:00,2018,D,437608
206,2018-09-24 19:00:00,2018,D,313268
207,2018-09-24 13:00:00,2018,D,419265
209,2018-09-24 01:00:00,2018,D,30537
211,2018-09-24 15:00:00,2018,D,439523
213,2018-09-24 21:00:00,2018,D,251848
217,2019-09-11 05:00:00,2019,D-2,76491
218,2019-09-11 00:00:00,2019,D-2,60484
220,2019-09-11 21:00:00,2019,D-2,210789
223,2019-09-11 17:00:00,2019,D-2,329701
224,2019-09-11 13:00:00,2019,D-2,273899
225,2019-09-11 12:00:00,2019,D-2,258552
229,2019-09-11 11:00:00,2019,D-2,261152
231,2019-09-11 04:00:00,2019,D-2,36605
238,2019-09-11 03:00:00,2019,D-2,29453
241,2019-09-11 02:00:00,2019,D-2,31251
244,2019-09-11 16:00:00,2019,D-2,321862
246,2019-09-11 18:00:00,2019,D-2,319562
249,2019-09-11 15:00:00,2019,D-2,310835
250,2019-09-11 01:00:00,2019,D-2,41266
251,2019-09-11 07:00:00,2019,D-2,261179
256,2019-09-11 19:00:00,2019,D-2,275566
258,2019-09-11 20:00:00,2019,D-2,234124
260,2019-09-11 10:00:00,2019,D-2,256038
277,2019-09-11 08:00:00,2019,D-2,287695
278,2019-09-11 06:00:00,2019,D-2,158673
279,2019-09-11 09:00:00,2019,D-2,249839
282,2019-09-11 23:00:00,2019,D-2,139255
285,2019-09-11 22:00:00,2019,D-2,184196
286,2019-09-11 14:00:00,2019,D-2,296242
294,2019-09-12 04:00:00,2019,D-1,84769
295,2019-09-12 05:00:00,2019,D-1,107752
296,2019-09-12 02:00:00,2019,D-1,78539
300,2019-09-12 03:00:00,2019,D-1,74475
301,2019-09-12 22:00:00,2019,D-1,110988
303,2019-09-12 11:00:00,2019,D-1,347928
305,2019-09-12 10:00:00,2019,D-1,314516
312,2019-09-12 07:00:00,2019,D-1,179184
314,2019-09-12 21:00:00,2019,D-1,147646
317,2019-09-12 18:00:00,2019,D-1,247082
318,2019-09-12 16:00:00,2019,D-1,313528
323,2019-09-12 00:00:00,2019,D-1,131492
325,2019-09-12 01:00:00,2019,D-1,97222
335,2019-09-12 15:00:00,2019,D-1,325319
338,2019-09-12 19:00:00,2019,D-1,196768
339,2019-09-12 17:00:00,2019,D-1,294337
343,2019-09-12 08:00:00,2019,D-1,220878
344,2019-09-12 06:00:00,2019,D-1,143513
345,2019-09-12 12:00:00,2019,D-1,346352
346,2019-09-12 13:00:00,2019,D-1,331417
347,2019-09-12 14:00:00,2019,D-1,327295
348,2019-09-12 20:00:00,2019,D-1,171307
352,2019-09-12 23:00:00,2019,D-1,74821
354,2019-09-12 09:00:00,2019,D-1,269887
361,2020-09-29 06:00:00,2020,D-2,188026
362,2020-09-29 12:00:00,2020,D-2,271368
363,2020-09-29 23:00:00,2020,D-2,120113
364,2020-09-29 09:00:00,2020,D-2,256350
365,2020-09-29 11:00:00,2020,D-2,272037
367,2020-09-29 22:00:00,2020,D-2,160474
370,2020-09-29 21:00:00,2020,D-2,199134
372,2020-09-29 17:00:00,2020,D-2,340930
379,2020-09-29 03:00:00,2020,D-2,28947
382,2020-09-29 18:00:00,2020,D-2,320078
383,2020-09-29 02:00:00,2020,D-2,29556
385,2020-09-29 07:00:00,2020,D-2,282796
389,2020-09-29 04:00:00,2020,D-2,40021
390,2020-09-29 20:00:00,2020,D-2,232777
