,시간,연도,연휴,구분일,도시,소요시간(분)
93,00,2017,추석,D-3,서울,274.466000000000000000000000
94,01,2017,추석,D-3,서울,260.141000000000000000000000
95,02,2017,추석,D-3,서울,269.225000000000000000000000
96,03,2017,추석,D-3,서울,263.721666666666666666666666
97,04,2017,추석,D-3,서울,264.088666666666666666666666
98,05,2017,추석,D-3,서울,262.533000000000000000000000
99,06,2017,추석,D-3,서울,277.833000000000000000000000
100,07,2017,추석,D-3,서울,275.887000000000000000000000
101,08,2017,추석,D-3,서울,281.772000000000000000000000
102,09,2017,추석,D-3,서울,282.099750000000000000000000
103,10,2017,추석,D-3,서울,292.055333333333333333333333
104,11,2017,추석,D-3,서울,287.999666666666666666666666
105,12,2017,추석,D-3,서울,289.827333333333333333333333
106,13,2017,추석,D-3,서울,314.944333333333333333333333
107,14,2017,추석,D-3,서울,294.244000000000000000000000
108,15,2017,추석,D-3,서울,303.355000000000000000000000
109,16,2017,추석,D-3,서울,340.433333333333333333333333
110,17,2017,추석,D-3,서울,320.024500000000000000000000
111,18,2017,추석,D-3,서울,313.299500000000000000000000
112,19,2017,추석,D-3,서울,307.966500000000000000000000
113,20,2017,추석,D-3,서울,329.766000000000000000000000
114,21,2017,추석,D-3,서울,325.933000000000000000000000
115,22,2017,추석,D-3,서울,325.433000000000000000000000
116,23,2017,추석,D-3,서울,357.258000000000000000000000
117,00,2017,추석,D-2,서울,298.683000000000000000000000
118,01,2017,추석,D-2,서울,297.883000000000000000000000
119,02,2017,추석,D-2,서울,288.466000000000000000000000
120,03,2017,추석,D-2,서울,292.008000000000000000000000
121,04,2017,추석,D-2,서울,279.299500000000000000000000
122,05,2017,추석,D-2,서울,275.349500000000000000000000
123,06,2017,추석,D-2,서울,279.558000000000000000000000
124,07,2017,추석,D-2,서울,359.760666666666666666666666
125,08,2017,추석,D-2,서울,348.227333333333333333333333
126,09,2017,추석,D-2,서울,349.472000000000000000000000
127,10,2017,추석,D-2,서울,345.921666666666666666666666
128,11,2017,추석,D-2,서울,351.744000000000000000000000
129,12,2017,추석,D-2,서울,367.872000000000000000000000
130,13,2017,추석,D-2,서울,379.672000000000000000000000
131,14,2017,추석,D-2,서울,389.366333333333333333333333
132,15,2017,추석,D-2,서울,370.208000000000000000000000
133,16,2017,추석,D-2,서울,374.333000000000000000000000
