시간,연도,연휴,sphlDfttCode,sphlDfttScopTypeNm,sphlDfttScopTypeCode,출발지,도착지,소요시간(분)
0,2017,추석,3,D-3,1,서울,부산,274.466
1,2017,추석,3,D-3,1,서울,부산,260.141
2,2017,추석,3,D-3,1,서울,부산,269.225
3,2017,추석,3,D-3,1,서울,부산,263.72166666666664
4,2017,추석,3,D-3,1,서울,부산,264.08866666666665
5,2017,추석,3,D-3,1,서울,부산,262.533
6,2017,추석,3,D-3,1,서울,부산,277.833
7,2017,추석,3,D-3,1,서울,부산,275.887
8,2017,추석,3,D-3,1,서울,부산,281.772
9,2017,추석,3,D-3,1,서울,부산,282.09975
10,2017,추석,3,D-3,1,서울,부산,292.0553333333333
11,2017,추석,3,D-3,1,서울,부산,287.99966666666666
12,2017,추석,3,D-3,1,서울,부산,289.82733333333334
13,2017,추석,3,D-3,1,서울,부산,314.9443333333333
14,2017,추석,3,D-3,1,서울,부산,294.244
15,2017,추석,3,D-3,1,서울,부산,303.355
16,2017,추석,3,D-3,1,서울,부산,340.43333333333334
17,2017,추석,3,D-3,1,서울,부산,320.0245
18,2017,추석,3,D-3,1,서울,부산,313.2995
19,2017,추석,3,D-3,1,서울,부산,307.9665
20,2017,추석,3,D-3,1,서울,부산,329.766
21,2017,추석,3,D-3,1,서울,부산,325.933
22,2017,추석,3,D-3,1,서울,부산,325.433
23,2017,추석,3,D-3,1,서울,부산,357.258
0,2017,추석,3,D-2,2,서울,부산,298.683
1,2017,추석,3,D-2,2,서울,부산,297.883
2,2017,추석,3,D-2,2,서울,부산,288.466
3,2017,추석,3,D-2,2,서울,부산,292.008
4,2017,추석,3,D-2,2,서울,부산,279.2995
5,2017,추석,3,D-2,2,서울,부산,275.3495
6,2017,추석,3,D-2,2,서울,부산,279.558
7,2017,추석,3,D-2,2,서울,부산,359.7606666666666
8,2017,추석,3,D-2,2,서울,부산,348.2273333333333
9,2017,추석,3,D-2,2,서울,부산,349.472
