,날짜시간,추석기준,연휴길이,서울강수량,부산강수량,소요시간(분),통행량
0,2018-09-22 00:00:00,D-2,5,0.0,0.0,289,80601.0
1,2018-09-22 01:00:00,D-2,5,0.0,0.0,286,58863.0
2,2018-09-22 02:00:00,D-2,5,0.0,0.0,287,47431.0
3,2018-09-22 03:00:00,D-2,5,0.0,0.0,285,45375.0
4,2018-09-22 04:00:00,D-2,5,0.0,0.0,323,55734.0
5,2018-09-22 05:00:00,D-2,5,6.5,0.0,282,88672.0
6,2018-09-22 06:00:00,D-2,5,0.0,0.0,329,140577.0
7,2018-09-22 07:00:00,D-2,5,0.0,0.0,338,174733.0
8,2018-09-22 08:00:00,D-2,5,0.0,0.0,331,202078.0
9,2018-09-22 09:00:00,D-2,5,0.0,0.0,350,230101.0
10,2018-09-22 10:00:00,D-2,5,0.0,0.0,349,257021.0
11,2018-09-22 11:00:00,D-2,5,0.0,0.0,375,272094.0
12,2018-09-22 12:00:00,D-2,5,0.0,0.0,378,266439.0
13,2018-09-22 13:00:00,D-2,5,0.0,0.0,375,274229.0
14,2018-09-22 14:00:00,D-2,5,0.0,0.0,376,283760.0
15,2018-09-22 15:00:00,D-2,5,0.0,0.0,368,289739.0
16,2018-09-22 16:00:00,D-2,5,0.0,0.0,367,296612.0
17,2018-09-22 17:00:00,D-2,5,0.0,0.0,369,287790.0
18,2018-09-22 18:00:00,D-2,5,0.0,0.0,365,253535.0
19,2018-09-22 19:00:00,D-2,5,0.0,0.0,323,206286.0
20,2018-09-22 20:00:00,D-2,5,0.0,0.0,379,179137.0
21,2018-09-22 21:00:00,D-2,5,0.0,0.0,360,160124.0
22,2018-09-22 22:00:00,D-2,5,0.0,0.0,340,128098.0
23,2018-09-22 23:00:00,D-2,5,0.0,0.0,295,89008.0
24,2018-09-23 00:00:00,D-1,5,0.0,0.0,374,86797.0
25,2018-09-23 01:00:00,D-1,5,0.0,0.0,365,58643.0
26,2018-09-23 02:00:00,D-1,5,0.0,0.0,350,46926.0
27,2018-09-23 03:00:00,D-1,5,0.0,0.0,333,44371.0
28,2018-09-23 04:00:00,D-1,5,0.0,0.0,316,50410.0
29,2018-09-23 05:00:00,D-1,5,0.0,0.0,332,72666.0
30,2018-09-23 06:00:00,D-1,5,0.0,0.0,337,108493.0
31,2018-09-23 07:00:00,D-1,5,0.0,0.0,311,145497.0
32,2018-09-23 08:00:00,D-1,5,0.0,0.0,313,191593.0
33,2018-09-23 09:00:00,D-1,5,0.0,0.0,338,249426.0
34,2018-09-23 10:00:00,D-1,5,0.0,0.0,350,298724.0
35,2018-09-23 11:00:00,D-1,5,0.0,0.0,370,312788.0
36,2018-09-23 12:00:00,D-1,5,0.0,0.0,379,309704.0
37,2018-09-23 13:00:00,D-1,5,0.0,0.0,391,297035.0
38,2018-09-23 14:00:00,D-1,5,0.0,0.0,344,302658.0
39,2018-09-23 15:00:00,D-1,5,0.0,0.0,341,300251.0
40,2018-09-23 16:00:00,D-1,5,0.0,0.0,341,291064.0
41,2018-09-23 17:00:00,D-1,5,0.0,0.0,344,272001.0
42,2018-09-23 18:00:00,D-1,5,0.0,0.0,327,231332.0
43,2018-09-23 19:00:00,D-1,5,0.0,0.0,320,188193.0
44,2018-09-23 20:00:00,D-1,5,0.0,0.0,309,166291.0
45,2018-09-23 21:00:00,D-1,5,0.0,0.0,326,143655.0
46,2018-09-23 22:00:00,D-1,5,0.0,0.0,356,108563.0
47,2018-09-23 23:00:00,D-1,5,0.0,0.0,330,72820.0
48,2018-09-24 00:00:00,D,5,0.0,0.0,255,47040.0
49,2018-09-24 01:00:00,D,5,0.0,0.0,286,30537.0
50,2018-09-24 02:00:00,D,5,0.0,0.0,267,21144.0
51,2018-09-24 03:00:00,D,5,0.0,0.0,282,18735.0
52,2018-09-24 04:00:00,D,5,0.0,0.0,280,25564.0
53,2018-09-24 05:00:00,D,5,0.0,0.0,256,55408.0
54,2018-09-24 06:00:00,D,5,0.0,0.0,284,149434.0
55,2018-09-24 07:00:00,D,5,0.0,0.0,294,270934.0
56,2018-09-24 08:00:00,D,5,0.0,0.0,294,276730.0
57,2018-09-24 09:00:00,D,5,0.0,0.0,320,276085.0
58,2018-09-24 10:00:00,D,5,0.0,0.0,349,338880.0
59,2018-09-24 11:00:00,D,5,0.0,0.0,373,397817.0
60,2018-09-24 12:00:00,D,5,0.0,0.0,407,415193.0
61,2018-09-24 13:00:00,D,5,0.0,0.0,414,419265.0
62,2018-09-24 14:00:00,D,5,0.0,0.0,420,429368.0
63,2018-09-24 15:00:00,D,5,0.0,0.0,436,439523.0
64,2018-09-24 16:00:00,D,5,0.0,0.0,453,437608.0
65,2018-09-24 17:00:00,D,5,0.0,0.0,467,414332.0
66,2018-09-24 18:00:00,D,5,0.0,0.0,481,366716.0
67,2018-09-24 19:00:00,D,5,0.0,0.0,447,313268.0
68,2018-09-24 20:00:00,D,5,0.0,0.0,548,279162.0
69,2018-09-24 21:00:00,D,5,0.0,0.0,544,251848.0
70,2018-09-24 22:00:00,D,5,0.0,0.0,508,206768.0
71,2018-09-24 23:00:00,D,5,0.0,0.0,457,150541.0
72,2019-09-11 00:00:00,D-2,4,0.6,0.0,280,60484.0
73,2019-09-11 01:00:00,D-2,4,2.2,0.0,277,41266.0
74,2019-09-11 02:00:00,D-2,4,2.0,0.0,275,31251.0
75,2019-09-11 03:00:00,D-2,4,2.3,0.0,268,29453.0
76,2019-09-11 04:00:00,D-2,4,0.9,4.5,261,36605.0
77,2019-09-11 05:00:00,D-2,4,0.1,8.3,269,76491.0
78,2019-09-11 06:00:00,D-2,4,0.0,0.1,280,158673.0
79,2019-09-11 07:00:00,D-2,4,0.1,0.5,279,261179.0
80,2019-09-11 08:00:00,D-2,4,0.0,0.0,304,287695.0
81,2019-09-11 09:00:00,D-2,4,0.0,0.0,289,249839.0
82,2019-09-11 10:00:00,D-2,4,0.0,0.0,299,256038.0
83,2019-09-11 11:00:00,D-2,4,0.0,0.0,316,261152.0
