,날짜시간,연도,시간,추석기준,통행량,소요시간(분)
0,2019-09-10 00:00:00,2019,0,D-3,50352,240.866
1,2019-09-10 01:00:00,2019,1,D-3,34152,317.9745
2,2019-09-10 02:00:00,2019,2,D-3,26952,302.4495
3,2019-09-10 03:00:00,2019,3,D-3,26252,312.158
4,2019-09-10 04:00:00,2019,4,D-3,35053,306.4995
5,2019-09-10 05:00:00,2019,5,D-3,79623,300.841
6,2019-09-10 06:00:00,2019,6,D-3,177300,293.683
7,2019-09-10 07:00:00,2019,7,D-3,271254,286.508
8,2019-09-10 08:00:00,2019,8,D-3,302675,283.558
9,2019-09-10 09:00:00,2019,9,D-3,270174,280.608
10,2019-09-10 10:00:00,2019,10,D-3,277596,274.494
11,2019-09-10 11:00:00,2019,11,D-3,271829,283.58866666666665
12,2019-09-10 12:00:00,2019,12,D-3,250430,281.6716666666666
13,2019-09-10 13:00:00,2019,13,D-3,265514,278.633
14,2019-09-10 14:00:00,2019,14,D-3,277143,278.483
15,2019-09-10 15:00:00,2019,15,D-3,282248,279.283
16,2019-09-10 16:00:00,2019,16,D-3,282892,278.4745
17,2019-09-10 17:00:00,2019,17,D-3,300083,273.4665
18,2019-09-10 18:00:00,2019,18,D-3,295793,269.1
19,2019-09-10 19:00:00,2019,19,D-3,239891,260.0106666666666
20,2019-09-10 20:00:00,2019,20,D-3,197529,258.1915
21,2019-09-10 21:00:00,2019,21,D-3,158348,274.033
22,2019-09-10 22:00:00,2019,22,D-3,125976,269.166
23,2019-09-10 23:00:00,2019,23,D-3,91145,262.4415
24,2019-09-11 00:00:00,2019,0,D-2,60484,280.758
25,2019-09-11 01:00:00,2019,1,D-2,41266,277.6915
26,2019-09-11 02:00:00,2019,2,D-2,31251,275.858
27,2019-09-11 03:00:00,2019,3,D-2,29453,268.2415
28,2019-09-11 04:00:00,2019,4,D-2,36605,261.5995
29,2019-09-11 05:00:00,2019,5,D-2,76491,269.983
30,2019-09-11 06:00:00,2019,6,D-2,158673,280.691
31,2019-09-11 07:00:00,2019,7,D-2,261179,279.433
32,2019-09-11 08:00:00,2019,8,D-2,287695,304.0443333333333
33,2019-09-11 09:00:00,2019,9,D-2,249839,289.908
34,2019-09-11 10:00:00,2019,10,D-2,256038,299.933
35,2019-09-11 11:00:00,2019,11,D-2,261152,316.77166666666665
36,2019-09-11 12:00:00,2019,12,D-2,258552,339.8053333333333
37,2019-09-11 13:00:00,2019,13,D-2,273899,347.91633333333334
38,2019-09-11 14:00:00,2019,14,D-2,296242,357.1773333333333
39,2019-09-11 15:00:00,2019,15,D-2,310835,374.4553333333333
40,2019-09-11 16:00:00,2019,16,D-2,321862,354.408
41,2019-09-11 17:00:00,2019,17,D-2,329701,348.1273333333333
42,2019-09-11 18:00:00,2019,18,D-2,319562,346.033
43,2019-09-11 19:00:00,2019,19,D-2,275566,360.6745
44,2019-09-11 20:00:00,2019,20,D-2,234124,377.6915
45,2019-09-11 21:00:00,2019,21,D-2,210789,381.966
46,2019-09-11 22:00:00,2019,22,D-2,184196,408.3
47,2019-09-11 23:00:00,2019,23,D-2,139255,393.5
48,2019-09-12 00:00:00,2019,0,D-1,131492,369.2386666666666
49,2019-09-12 01:00:00,2019,1,D-1,97222,368.961
50,2019-09-12 02:00:00,2019,2,D-1,78539,355.9665
51,2019-09-12 03:00:00,2019,3,D-1,74475,365.2915
52,2019-09-12 04:00:00,2019,4,D-1,84769,476.1716666666666
53,2019-09-12 05:00:00,2019,5,D-1,107752,481.954
54,2019-09-12 06:00:00,2019,6,D-1,143513,496.029
55,2019-09-12 07:00:00,2019,7,D-1,179184,468.4665
56,2019-09-12 08:00:00,2019,8,D-1,220878,478.3276666666666
57,2019-09-12 09:00:00,2019,9,D-1,269887,470.7495
58,2019-09-12 10:00:00,2019,10,D-1,314516,475.9745
59,2019-09-12 11:00:00,2019,11,D-1,347928,501.761
60,2019-09-12 12:00:00,2019,12,D-1,346352,471.191
61,2019-09-12 13:00:00,2019,13,D-1,331417,471.4415
62,2019-09-12 14:00:00,2019,14,D-1,327295,498.5164
63,2019-09-12 15:00:00,2019,15,D-1,325319,511.0165
64,2019-09-12 16:00:00,2019,16,D-1,313528,496.154
65,2019-09-12 17:00:00,2019,17,D-1,294337,466.991
66,2019-09-12 18:00:00,2019,18,D-1,247082,483.63833333333326
67,2019-09-12 19:00:00,2019,19,D-1,196768,453.372
68,2019-09-12 20:00:00,2019,20,D-1,171307,390.0
69,2019-09-12 21:00:00,2019,21,D-1,147646,393.5553333333333
70,2019-09-12 22:00:00,2019,22,D-1,110988,382.1165
71,2019-09-12 23:00:00,2019,23,D-1,74821,372.341
