,연도,시간,추석기준,통행량,소요시간(분)
0,2019,5,D-3,79623,300
1,2019,6,D-3,177300,293
2,2019,7,D-3,271254,286
3,2019,8,D-3,302675,283
4,2019,9,D-3,270174,280
5,2019,10,D-3,277596,274
6,2019,11,D-3,271829,283
7,2019,12,D-3,250430,281
8,2019,13,D-3,265514,278
9,2019,14,D-3,277143,278
10,2019,15,D-3,282248,279
11,2019,16,D-3,282892,278
12,2019,17,D-3,300083,273
13,2019,18,D-3,295793,269
14,2019,5,D-2,76491,269
15,2019,6,D-2,158673,280
16,2019,7,D-2,261179,279
17,2019,8,D-2,287695,304
18,2019,9,D-2,249839,289
19,2019,10,D-2,256038,299
20,2019,11,D-2,261152,316
21,2019,12,D-2,258552,339
22,2019,13,D-2,273899,347
23,2019,14,D-2,296242,357
24,2019,15,D-2,310835,374
25,2019,16,D-2,321862,354
26,2019,17,D-2,329701,348
27,2019,18,D-2,319562,346
28,2019,5,D-1,107752,481
29,2019,6,D-1,143513,496
30,2019,7,D-1,179184,468
31,2019,8,D-1,220878,478
32,2019,9,D-1,269887,470
33,2019,10,D-1,314516,475
34,2019,11,D-1,347928,501
35,2019,12,D-1,346352,471
36,2019,13,D-1,331417,471
37,2019,14,D-1,327295,498
38,2019,15,D-1,325319,511
39,2019,16,D-1,313528,496
40,2019,17,D-1,294337,466
41,2019,18,D-1,247082,483
42,2022,5,D-3,115724,254
43,2022,6,D-3,222019,264
44,2022,7,D-3,309699,274
45,2022,8,D-3,337686,262
46,2022,9,D-3,298109,274
47,2022,10,D-3,297973,289
48,2022,11,D-3,288534,300
49,2022,12,D-3,275638,302
50,2022,13,D-3,294033,311
51,2022,14,D-3,302392,306
52,2022,15,D-3,307581,300
53,2022,16,D-3,321446,299
54,2022,17,D-3,337168,295
55,2022,18,D-3,323646,297
56,2022,5,D-2,112592,0
57,2022,6,D-2,203392,0
58,2022,7,D-2,299624,0
59,2022,8,D-2,322706,0
60,2022,9,D-2,277774,0
61,2022,10,D-2,276415,0
62,2022,11,D-2,277857,0
63,2022,12,D-2,283760,0
64,2022,13,D-2,302418,0
65,2022,14,D-2,321491,0
66,2022,15,D-2,336168,0
67,2022,16,D-2,360416,0
68,2022,17,D-2,366786,0
69,2022,18,D-2,347415,0
70,2022,5,D-1,143853,0
71,2022,6,D-1,188232,0
72,2022,7,D-1,217629,0
73,2022,8,D-1,255889,0
74,2022,9,D-1,297822,0
75,2022,10,D-1,334893,0
76,2022,11,D-1,364633,0
77,2022,12,D-1,371560,0
78,2022,13,D-1,359936,0
79,2022,14,D-1,352544,0
80,2022,15,D-1,350652,0
81,2022,16,D-1,352082,0
82,2022,17,D-1,331422,0
83,2022,18,D-1,274935,0
