,연도,추석기준,날짜,요일,구분
0,2017,D-3,2017-10-01,일,연휴
1,2017,D-2,2017-10-02,월,평일
2,2017,D-1,2017-10-03,화,연휴
3,2017,D,2017-10-04,수,연휴
4,2017,D+1,2017-10-05,목,연휴
5,2017,D+2,2017-10-06,금,평일
6,2017,D+3,2017-10-07,토,주말
7,2017,D+4,2017-10-08,일,주말
8,2018,D-3,2018-09-21,금,평일
9,2018,D-2,2018-09-22,토,주말
10,2018,D-1,2018-09-23,일,연휴
11,2018,D,2018-09-24,월,연휴
12,2018,D+1,2018-09-25,화,연휴
13,2018,D+2,2018-09-26,수,연휴
14,2018,D+3,2018-09-27,목,평일
15,2019,D-3,2019-09-10,화,평일
16,2019,D-2,2019-09-11,수,평일
17,2019,D-1,2019-09-12,목,연휴
18,2019,D+2,2019-09-15,일,주말
19,2019,D+3,2019-09-16,월,평일
20,2020,D-3,2020-09-28,월,평일
21,2020,D-2,2020-09-29,화,평일
22,2020,D-1,2020-09-30,수,연휴
23,2020,D,2020-10-01,목,연휴
24,2020,D+1,2020-10-02,금,연휴
25,2020,D+2,2020-10-03,토,연휴
26,2020,D+3,2020-10-04,일,주말
27,2021,D-3,2021-09-18,토,주말
28,2021,D-2,2021-09-19,일,주말
29,2021,D-1,2021-09-20,월,연휴
30,2021,D,2021-09-21,화,연휴
31,2021,D+1,2021-09-22,수,연휴
32,2021,D+2,2021-09-23,목,평일
33,2021,D+3,2021-09-24,금,평일
