,날짜시간,연도,추석기준,통행량
0,2018-09-21 00:00:00,2018,D-3,59442
1,2018-09-21 01:00:00,2018,D-3,39835
2,2018-09-21 02:00:00,2018,D-3,29280
3,2018-09-21 03:00:00,2018,D-3,27291
4,2018-09-21 04:00:00,2018,D-3,35327
5,2018-09-21 05:00:00,2018,D-3,77518
6,2018-09-21 06:00:00,2018,D-3,163669
7,2018-09-21 07:00:00,2018,D-3,251764
8,2018-09-21 08:00:00,2018,D-3,280439
9,2018-09-21 09:00:00,2018,D-3,245710
10,2018-09-21 10:00:00,2018,D-3,247784
11,2018-09-21 11:00:00,2018,D-3,248611
12,2018-09-21 12:00:00,2018,D-3,244211
13,2018-09-21 13:00:00,2018,D-3,264021
14,2018-09-21 14:00:00,2018,D-3,285742
15,2018-09-21 15:00:00,2018,D-3,296559
16,2018-09-21 16:00:00,2018,D-3,304517
17,2018-09-21 17:00:00,2018,D-3,319342
18,2018-09-21 18:00:00,2018,D-3,304172
19,2018-09-21 19:00:00,2018,D-3,258132
20,2018-09-21 20:00:00,2018,D-3,212171
21,2018-09-21 21:00:00,2018,D-3,179196
22,2018-09-21 22:00:00,2018,D-3,149191
23,2018-09-21 23:00:00,2018,D-3,112249
24,2018-09-22 00:00:00,2018,D-2,80601
25,2018-09-22 01:00:00,2018,D-2,58863
26,2018-09-22 02:00:00,2018,D-2,47431
27,2018-09-22 03:00:00,2018,D-2,45375
28,2018-09-22 04:00:00,2018,D-2,55734
29,2018-09-22 05:00:00,2018,D-2,88672
30,2018-09-22 06:00:00,2018,D-2,140577
31,2018-09-22 07:00:00,2018,D-2,174733
32,2018-09-22 08:00:00,2018,D-2,202078
33,2018-09-22 09:00:00,2018,D-2,230101
34,2018-09-22 10:00:00,2018,D-2,257021
35,2018-09-22 11:00:00,2018,D-2,272094
36,2018-09-22 12:00:00,2018,D-2,266439
37,2018-09-22 13:00:00,2018,D-2,274229
38,2018-09-22 14:00:00,2018,D-2,283760
39,2018-09-22 15:00:00,2018,D-2,289739
40,2018-09-22 16:00:00,2018,D-2,296612
41,2018-09-22 17:00:00,2018,D-2,287790
42,2018-09-22 18:00:00,2018,D-2,253535
43,2018-09-22 19:00:00,2018,D-2,206286
44,2018-09-22 20:00:00,2018,D-2,179137
45,2018-09-22 21:00:00,2018,D-2,160124
46,2018-09-22 22:00:00,2018,D-2,128098
47,2018-09-22 23:00:00,2018,D-2,89008
48,2018-09-23 00:00:00,2018,D-1,86797
49,2018-09-23 01:00:00,2018,D-1,58643
50,2018-09-23 02:00:00,2018,D-1,46926
51,2018-09-23 03:00:00,2018,D-1,44371
52,2018-09-23 04:00:00,2018,D-1,50410
53,2018-09-23 05:00:00,2018,D-1,72666
54,2018-09-23 06:00:00,2018,D-1,108493
55,2018-09-23 07:00:00,2018,D-1,145497
56,2018-09-23 08:00:00,2018,D-1,191593
57,2018-09-23 09:00:00,2018,D-1,249426
58,2018-09-23 10:00:00,2018,D-1,298724
59,2018-09-23 11:00:00,2018,D-1,312788
60,2018-09-23 12:00:00,2018,D-1,309704
61,2018-09-23 13:00:00,2018,D-1,297035
62,2018-09-23 14:00:00,2018,D-1,302658
63,2018-09-23 15:00:00,2018,D-1,300251
64,2018-09-23 16:00:00,2018,D-1,291064
65,2018-09-23 17:00:00,2018,D-1,272001
66,2018-09-23 18:00:00,2018,D-1,231332
67,2018-09-23 19:00:00,2018,D-1,188193
68,2018-09-23 20:00:00,2018,D-1,166291
69,2018-09-23 21:00:00,2018,D-1,143655
70,2018-09-23 22:00:00,2018,D-1,108563
71,2018-09-23 23:00:00,2018,D-1,72820
72,2019-09-10 00:00:00,2019,D-3,50352
73,2019-09-10 01:00:00,2019,D-3,34152
74,2019-09-10 02:00:00,2019,D-3,26952
75,2019-09-10 03:00:00,2019,D-3,26252
76,2019-09-10 04:00:00,2019,D-3,35053
77,2019-09-10 05:00:00,2019,D-3,79623
78,2019-09-10 06:00:00,2019,D-3,177300
79,2019-09-10 07:00:00,2019,D-3,271254
80,2019-09-10 08:00:00,2019,D-3,302675
81,2019-09-10 09:00:00,2019,D-3,270174
82,2019-09-10 10:00:00,2019,D-3,277596
83,2019-09-10 11:00:00,2019,D-3,271829
84,2019-09-10 12:00:00,2019,D-3,250430
85,2019-09-10 13:00:00,2019,D-3,265514
86,2019-09-10 14:00:00,2019,D-3,277143
87,2019-09-10 15:00:00,2019,D-3,282248
88,2019-09-10 16:00:00,2019,D-3,282892
89,2019-09-10 17:00:00,2019,D-3,300083
90,2019-09-10 18:00:00,2019,D-3,295793
91,2019-09-10 19:00:00,2019,D-3,239891
92,2019-09-10 20:00:00,2019,D-3,197529
93,2019-09-10 21:00:00,2019,D-3,158348
94,2019-09-10 22:00:00,2019,D-3,125976
95,2019-09-10 23:00:00,2019,D-3,91145
96,2019-09-11 00:00:00,2019,D-2,60484
97,2019-09-11 01:00:00,2019,D-2,41266
98,2019-09-11 02:00:00,2019,D-2,31251
99,2019-09-11 03:00:00,2019,D-2,29453
100,2019-09-11 04:00:00,2019,D-2,36605
101,2019-09-11 05:00:00,2019,D-2,76491
102,2019-09-11 06:00:00,2019,D-2,158673
103,2019-09-11 07:00:00,2019,D-2,261179
104,2019-09-11 08:00:00,2019,D-2,287695
105,2019-09-11 09:00:00,2019,D-2,249839
106,2019-09-11 10:00:00,2019,D-2,256038
107,2019-09-11 11:00:00,2019,D-2,261152
108,2019-09-11 12:00:00,2019,D-2,258552
109,2019-09-11 13:00:00,2019,D-2,273899
110,2019-09-11 14:00:00,2019,D-2,296242
111,2019-09-11 15:00:00,2019,D-2,310835
112,2019-09-11 16:00:00,2019,D-2,321862
113,2019-09-11 17:00:00,2019,D-2,329701
114,2019-09-11 18:00:00,2019,D-2,319562
115,2019-09-11 19:00:00,2019,D-2,275566
116,2019-09-11 20:00:00,2019,D-2,234124
117,2019-09-11 21:00:00,2019,D-2,210789
118,2019-09-11 22:00:00,2019,D-2,184196
119,2019-09-11 23:00:00,2019,D-2,139255
120,2019-09-12 00:00:00,2019,D-1,131492
121,2019-09-12 01:00:00,2019,D-1,97222
122,2019-09-12 02:00:00,2019,D-1,78539
123,2019-09-12 03:00:00,2019,D-1,74475
124,2019-09-12 04:00:00,2019,D-1,84769
125,2019-09-12 05:00:00,2019,D-1,107752
126,2019-09-12 06:00:00,2019,D-1,143513
127,2019-09-12 07:00:00,2019,D-1,179184
128,2019-09-12 08:00:00,2019,D-1,220878
129,2019-09-12 09:00:00,2019,D-1,269887
130,2019-09-12 10:00:00,2019,D-1,314516
131,2019-09-12 11:00:00,2019,D-1,347928
132,2019-09-12 12:00:00,2019,D-1,346352
133,2019-09-12 13:00:00,2019,D-1,331417
134,2019-09-12 14:00:00,2019,D-1,327295
135,2019-09-12 15:00:00,2019,D-1,325319
136,2019-09-12 16:00:00,2019,D-1,313528
137,2019-09-12 17:00:00,2019,D-1,294337
138,2019-09-12 18:00:00,2019,D-1,247082
139,2019-09-12 19:00:00,2019,D-1,196768
140,2019-09-12 20:00:00,2019,D-1,171307
141,2019-09-12 21:00:00,2019,D-1,147646
142,2019-09-12 22:00:00,2019,D-1,110988
143,2019-09-12 23:00:00,2019,D-1,74821
144,2020-09-28 00:00:00,2020,D-3,41609
145,2020-09-28 01:00:00,2020,D-3,27813
146,2020-09-28 02:00:00,2020,D-3,22967
147,2020-09-28 03:00:00,2020,D-3,24985
148,2020-09-28 04:00:00,2020,D-3,41530
149,2020-09-28 05:00:00,2020,D-3,118460
150,2020-09-28 06:00:00,2020,D-3,224371
151,2020-09-28 07:00:00,2020,D-3,313795
152,2020-09-28 08:00:00,2020,D-3,327515
153,2020-09-28 09:00:00,2020,D-3,272799
154,2020-09-28 10:00:00,2020,D-3,278556
155,2020-09-28 11:00:00,2020,D-3,279359
156,2020-09-28 12:00:00,2020,D-3,268739
157,2020-09-28 13:00:00,2020,D-3,284186
158,2020-09-28 14:00:00,2020,D-3,292246
159,2020-09-28 15:00:00,2020,D-3,301034
160,2020-09-28 16:00:00,2020,D-3,305154
161,2020-09-28 17:00:00,2020,D-3,318735
162,2020-09-28 18:00:00,2020,D-3,304624
163,2020-09-28 19:00:00,2020,D-3,247213
164,2020-09-28 20:00:00,2020,D-3,202673
165,2020-09-28 21:00:00,2020,D-3,158600
166,2020-09-28 22:00:00,2020,D-3,115398
167,2020-09-28 23:00:00,2020,D-3,79642
168,2020-09-29 00:00:00,2020,D-2,53944
169,2020-09-29 01:00:00,2020,D-2,37047
170,2020-09-29 02:00:00,2020,D-2,29556
171,2020-09-29 03:00:00,2020,D-2,28947
172,2020-09-29 04:00:00,2020,D-2,40021
173,2020-09-29 05:00:00,2020,D-2,94613
174,2020-09-29 06:00:00,2020,D-2,188026
175,2020-09-29 07:00:00,2020,D-2,282796
176,2020-09-29 08:00:00,2020,D-2,296646
177,2020-09-29 09:00:00,2020,D-2,256350
178,2020-09-29 10:00:00,2020,D-2,269295
179,2020-09-29 11:00:00,2020,D-2,272037
180,2020-09-29 12:00:00,2020,D-2,271368
181,2020-09-29 13:00:00,2020,D-2,287880
182,2020-09-29 14:00:00,2020,D-2,309071
183,2020-09-29 15:00:00,2020,D-2,322865
184,2020-09-29 16:00:00,2020,D-2,334638
185,2020-09-29 17:00:00,2020,D-2,340930
186,2020-09-29 18:00:00,2020,D-2,320078
187,2020-09-29 19:00:00,2020,D-2,275078
188,2020-09-29 20:00:00,2020,D-2,232777
189,2020-09-29 21:00:00,2020,D-2,199134
190,2020-09-29 22:00:00,2020,D-2,160474
191,2020-09-29 23:00:00,2020,D-2,120113
192,2020-09-30 00:00:00,2020,D-1,85948
193,2020-09-30 01:00:00,2020,D-1,63049
194,2020-09-30 02:00:00,2020,D-1,48860
195,2020-09-30 03:00:00,2020,D-1,44777
196,2020-09-30 04:00:00,2020,D-1,49753
197,2020-09-30 05:00:00,2020,D-1,70478
198,2020-09-30 06:00:00,2020,D-1,104964
199,2020-09-30 07:00:00,2020,D-1,139682
200,2020-09-30 08:00:00,2020,D-1,175941
201,2020-09-30 09:00:00,2020,D-1,223397
202,2020-09-30 10:00:00,2020,D-1,269039
203,2020-09-30 11:00:00,2020,D-1,291447
204,2020-09-30 12:00:00,2020,D-1,285370
205,2020-09-30 13:00:00,2020,D-1,270841
206,2020-09-30 14:00:00,2020,D-1,266622
207,2020-09-30 15:00:00,2020,D-1,261347
208,2020-09-30 16:00:00,2020,D-1,264371
209,2020-09-30 17:00:00,2020,D-1,248639
210,2020-09-30 18:00:00,2020,D-1,205685
211,2020-09-30 19:00:00,2020,D-1,169140
212,2020-09-30 20:00:00,2020,D-1,142440
213,2020-09-30 21:00:00,2020,D-1,119458
214,2020-09-30 22:00:00,2020,D-1,88277
215,2020-09-30 23:00:00,2020,D-1,60900
216,2021-09-18 00:00:00,2021,D-3,69905
217,2021-09-18 01:00:00,2021,D-3,50189
218,2021-09-18 02:00:00,2021,D-3,40218
219,2021-09-18 03:00:00,2021,D-3,38914
220,2021-09-18 04:00:00,2021,D-3,52712
221,2021-09-18 05:00:00,2021,D-3,97146
222,2021-09-18 06:00:00,2021,D-3,151536
223,2021-09-18 07:00:00,2021,D-3,190030
224,2021-09-18 08:00:00,2021,D-3,224184
225,2021-09-18 09:00:00,2021,D-3,260127
226,2021-09-18 10:00:00,2021,D-3,292412
227,2021-09-18 11:00:00,2021,D-3,314363
228,2021-09-18 12:00:00,2021,D-3,318151
229,2021-09-18 13:00:00,2021,D-3,319598
230,2021-09-18 14:00:00,2021,D-3,321598
231,2021-09-18 15:00:00,2021,D-3,327847
232,2021-09-18 16:00:00,2021,D-3,320174
233,2021-09-18 17:00:00,2021,D-3,308305
234,2021-09-18 18:00:00,2021,D-3,267614
235,2021-09-18 19:00:00,2021,D-3,212203
236,2021-09-18 20:00:00,2021,D-3,177925
237,2021-09-18 21:00:00,2021,D-3,156239
238,2021-09-18 22:00:00,2021,D-3,123749
239,2021-09-18 23:00:00,2021,D-3,81761
240,2021-09-19 00:00:00,2021,D-2,54219
241,2021-09-19 01:00:00,2021,D-2,37210
242,2021-09-19 02:00:00,2021,D-2,28461
243,2021-09-19 03:00:00,2021,D-2,27351
244,2021-09-19 04:00:00,2021,D-2,36179
245,2021-09-19 05:00:00,2021,D-2,62469
246,2021-09-19 06:00:00,2021,D-2,99498
247,2021-09-19 07:00:00,2021,D-2,130601
248,2021-09-19 08:00:00,2021,D-2,169372
249,2021-09-19 09:00:00,2021,D-2,220627
250,2021-09-19 10:00:00,2021,D-2,276526
251,2021-09-19 11:00:00,2021,D-2,309192
252,2021-09-19 12:00:00,2021,D-2,319004
