,날짜,시간,연휴,추석기준,연휴길이,출발지,도착지,소요시간(분),요일,구분,서울기온,서울강수량,서울풍속,서울습도,서울시정,서울지면온도,부산기온,부산강수량,부산풍속,부산습도,부산시정,부산지면온도,대구기온,대구강수량,대구풍속,대구습도,대구시정,대구지면온도,대전기온,대전강수량,대전풍속,대전습도,대전시정,대전지면온도
0,2017-10-01,0,추석,D-3,1.0,서울,부산,274.466,일,연휴,18.4,0.0,1.3,83.0,513.0,15.1,18.6,0.0,1.1,60.0,2000.0,15.5,14.6,0.0,0.5,84.0,1811.0,12.5,15.5,0.0,1.0,93.0,870.0,14.3
1,2017-10-01,1,추석,D-3,1.0,서울,부산,260.141,일,연휴,18.0,0.0,1.6,81.0,582.0,15.2,18.1,0.0,2.1,44.0,2000.0,14.7,13.9,0.0,1.2,88.0,1785.0,12.2,14.7,0.0,0.9,95.0,758.0,13.7
2,2017-10-01,2,추석,D-3,1.0,서울,부산,269.225,일,연휴,17.9,0.0,1.8,81.0,561.0,15.5,17.8,0.0,1.3,56.0,2000.0,14.2,13.1,0.0,0.9,86.0,1625.0,11.4,14.3,0.0,1.2,95.0,780.0,13.3
3,2017-10-01,3,추석,D-3,1.0,서울,부산,263.72166666666664,일,연휴,17.7,0.0,1.8,80.0,532.0,15.2,17.4,0.0,0.7,51.0,2000.0,13.7,12.1,0.0,1.5,92.0,1317.0,11.2,13.9,0.0,0.0,95.0,741.0,13.5
4,2017-10-01,4,추석,D-3,1.0,서울,부산,264.08866666666665,일,연휴,17.5,0.0,1.3,79.0,604.0,15.4,16.8,0.0,0.9,54.0,1865.0,14.3,12.2,0.0,1.3,95.0,693.0,12.0,13.7,0.0,1.2,94.0,900.0,13.4
5,2017-10-01,5,추석,D-3,1.0,서울,부산,262.533,일,연휴,17.3,0.0,1.9,79.0,628.0,15.5,16.8,0.0,1.0,54.0,2000.0,14.6,12.2,0.0,0.5,94.0,831.0,12.3,13.7,0.0,0.2,95.0,802.0,13.6
6,2017-10-01,6,추석,D-3,1.0,서울,부산,277.833,일,연휴,17.4,0.0,2.0,77.0,736.0,15.7,16.8,0.0,0.5,51.0,2000.0,14.8,12.2,0.0,1.0,94.0,866.0,12.5,13.6,0.0,1.1,91.0,1975.0,13.6
7,2017-10-01,7,추석,D-3,1.0,서울,부산,275.887,일,연휴,17.3,0.0,2.7,77.0,858.0,15.8,17.1,0.0,0.7,53.0,2000.0,15.5,12.0,0.0,0.4,91.0,1261.0,12.8,13.6,0.0,0.3,94.0,1300.0,13.5
8,2017-10-01,8,추석,D-3,1.0,서울,부산,281.772,일,연휴,17.6,0.0,2.3,72.0,1030.0,17.1,18.5,0.0,1.3,62.0,2000.0,17.5,12.6,0.0,1.3,89.0,1379.0,15.6,14.2,0.0,0.7,94.0,1385.0,15.8
9,2017-10-01,9,추석,D-3,1.0,서울,부산,282.09975,일,연휴,19.3,0.0,1.5,63.0,1248.0,22.2,20.9,0.0,1.6,61.0,1959.0,21.0,14.7,0.0,0.4,76.0,1356.0,19.6,15.0,0.0,0.0,88.0,2000.0,17.2
