,연도,날짜,시간,연휴,추석기준,연휴길이,출발지,도착지,소요시간(분),요일,구분
0,2017,2017-10-01,0.0,추석,D-3,1.0,서울,부산,274.466,일,연휴
1,2017,2017-10-01,1.0,추석,D-3,1.0,서울,부산,260.141,일,연휴
2,2017,2017-10-01,2.0,추석,D-3,1.0,서울,부산,269.225,일,연휴
3,2017,2017-10-01,3.0,추석,D-3,1.0,서울,부산,263.72166666666664,일,연휴
4,2017,2017-10-01,4.0,추석,D-3,1.0,서울,부산,264.08866666666665,일,연휴
5,2017,2017-10-01,5.0,추석,D-3,1.0,서울,부산,262.533,일,연휴
6,2017,2017-10-01,6.0,추석,D-3,1.0,서울,부산,277.833,일,연휴
7,2017,2017-10-01,7.0,추석,D-3,1.0,서울,부산,275.887,일,연휴
8,2017,2017-10-01,8.0,추석,D-3,1.0,서울,부산,281.772,일,연휴
9,2017,2017-10-01,9.0,추석,D-3,1.0,서울,부산,282.09975,일,연휴
10,2017,2017-10-01,10.0,추석,D-3,1.0,서울,부산,292.0553333333333,일,연휴
11,2017,2017-10-01,11.0,추석,D-3,1.0,서울,부산,287.99966666666666,일,연휴
12,2017,2017-10-01,12.0,추석,D-3,1.0,서울,부산,289.82733333333334,일,연휴
13,2017,2017-10-01,13.0,추석,D-3,1.0,서울,부산,314.9443333333333,일,연휴
14,2017,2017-10-01,14.0,추석,D-3,1.0,서울,부산,294.244,일,연휴
15,2017,2017-10-01,15.0,추석,D-3,1.0,서울,부산,303.355,일,연휴
16,2017,2017-10-01,16.0,추석,D-3,1.0,서울,부산,340.43333333333334,일,연휴
17,2017,2017-10-01,17.0,추석,D-3,1.0,서울,부산,320.0245,일,연휴
18,2017,2017-10-01,18.0,추석,D-3,1.0,서울,부산,313.2995,일,연휴
19,2017,2017-10-01,19.0,추석,D-3,1.0,서울,부산,307.9665,일,연휴
20,2017,2017-10-01,20.0,추석,D-3,1.0,서울,부산,329.766,일,연휴
21,2017,2017-10-01,21.0,추석,D-3,1.0,서울,부산,325.933,일,연휴
22,2017,2017-10-01,22.0,추석,D-3,1.0,서울,부산,325.433,일,연휴
23,2017,2017-10-01,23.0,추석,D-3,1.0,서울,부산,357.258,일,연휴
24,2017,2017-10-02,0.0,추석,D-2,2.0,서울,부산,298.683,월,평일
25,2017,2017-10-02,1.0,추석,D-2,2.0,서울,부산,297.883,월,평일
26,2017,2017-10-02,2.0,추석,D-2,2.0,서울,부산,288.466,월,평일
27,2017,2017-10-02,3.0,추석,D-2,2.0,서울,부산,292.008,월,평일
28,2017,2017-10-02,4.0,추석,D-2,2.0,서울,부산,279.2995,월,평일
29,2017,2017-10-02,5.0,추석,D-2,2.0,서울,부산,275.3495,월,평일
30,2017,2017-10-02,6.0,추석,D-2,2.0,서울,부산,279.558,월,평일
31,2017,2017-10-02,7.0,추석,D-2,2.0,서울,부산,359.7606666666666,월,평일
32,2017,2017-10-02,8.0,추석,D-2,2.0,서울,부산,348.2273333333333,월,평일
33,2017,2017-10-02,9.0,추석,D-2,2.0,서울,부산,349.472,월,평일
34,2017,2017-10-02,10.0,추석,D-2,2.0,서울,부산,345.9216666666666,월,평일
35,2017,2017-10-02,11.0,추석,D-2,2.0,서울,부산,351.744,월,평일
36,2017,2017-10-02,12.0,추석,D-2,2.0,서울,부산,367.872,월,평일
37,2017,2017-10-02,13.0,추석,D-2,2.0,서울,부산,379.672,월,평일
