,stdHour,stdYear,sphlDfttNm,sphlDfttCode,sphlDfttScopTypeNm,sphlDfttScopTypeCode,iStdYear,trfl,message,code
0,02,2022년,설날,2,D+1,5,,23655,,
1,11,2022년,설날,2,D-3,1,,293055,,
2,04,2022년,설날,2,D-2,2,,22822,,
3,12,2022년,설날,2,D-1,3,,310812,,
4,07,2022년,연말연시,1,D+2,6,,295809,,
5,22,2022년,설날,2,D-3,1,,95341,,
6,14,2022년,연말연시,1,D+1,5,,302868,,
7,07,2022년,추석,3,D-3,1,,309699,,
8,13,2022년,추석,3,D-3,1,,294033,,
9,19,2022년,설날,2,D+3,7,,223697,,
10,05,2022년,설날,2,D+2,6,,76485,,
11,09,2022년,연말연시,1,D+1,5,,132894,,
12,01,2022년,설날,2,D-1,3,,28687,,
13,08,2022년,연말연시,1,D+1,5,,88186,,
14,00,2022년,추석,3,D-3,1,,46716,,
15,07,2022년,설날,2,D,4,,117089,,
16,23,2022년,연말연시,1,D+1,5,,66590,,
17,02,2022년,설날,2,D-2,2,,20941,,
18,03,2022년,설날,2,D-2,2,,18532,,
19,23,2022년,설날,2,D+2,6,,48969,,
20,12,2022년,연말연시,1,D+3,7,,244018,,
21,14,2022년,연말연시,1,D,4,,308279,,
22,22,2022년,연말연시,1,D+3,7,,81028,,
23,21,2022년,연말연시,1,D+3,7,,124844,,
24,04,2022년,설날,2,D+1,5,,16125,,
25,02,2022년,연말연시,1,D+2,6,,18567,,
26,18,2022년,설날,2,D+1,5,,209117,,
27,13,2022년,설날,2,D,4,,366960,,
28,06,2022년,연말연시,1,D,4,,80351,,
29,20,2022년,설날,2,D+3,7,,170661,,
30,09,2022년,설날,2,D+2,6,,236184,,
31,11,2022년,연말연시,1,D+2,6,,244904,,
32,11,2022년,연말연시,1,D+1,5,,253480,,
33,10,2022년,설날,2,D+3,7,,262391,,
34,05,2022년,연말연시,1,D+2,6,,104400,,
35,14,2022년,설날,2,D,4,,371510,,
36,16,2022년,추석,3,D-3,1,,321446,,
37,05,2022년,연말연시,1,D+3,7,,85086,,
38,00,2022년,연말연시,1,D+3,7,,32706,,
39,20,2022년,설날,2,D,4,,190726,,
40,11,2022년,설날,2,D+1,5,,267309,,
41,06,2022년,설날,2,D,4,,49738,,
42,12,2022년,설날,2,D,4,,362202,,
43,05,2022년,추석,3,D-3,1,,115724,,
44,21,2022년,설날,2,D+2,6,,118144,,
45,21,2022년,설날,2,D-1,3,,121094,,
46,16,2022년,설날,2,D-1,3,,286787,,
47,19,2022년,연말연시,1,D,4,,176458,,
48,02,2022년,설날,2,D+3,7,,19840,,
49,19,2022년,설날,2,D-1,3,,168634,,
50,17,2022년,연말연시,1,D+1,5,,287981,,
51,09,2022년,연말연시,1,D+3,7,,261699,,
52,03,2022년,설날,2,D+3,7,,21206,,
53,20,2022년,연말연시,1,D,4,,153714,,
54,08,2022년,설날,2,D,4,,153261,,
55,15,2022년,설날,2,D-1,3,,294633,,
56,23,2022년,연말연시,1,D+3,7,,49269,,
57,16,2022년,설날,2,D+2,6,,276141,,
58,01,2022년,설날,2,D-2,2,,27982,,
59,15,2022년,연말연시,1,D,4,,316862,,
60,07,2022년,연말연시,1,D+1,5,,60992,,
61,17,2022년,설날,2,D-3,1,,278303,,
62,18,2022년,설날,2,D+3,7,,297717,,
63,06,2022년,연말연시,1,D+2,6,,203609,,
64,17,2022년,추석,3,D-3,1,,337168,,
65,19,2022년,설날,2,D,4,,206763,,
66,07,2022년,설날,2,D+1,5,,63285,,
67,17,2022년,연말연시,1,D+2,6,,291293,,
68,00,2022년,설날,2,D-1,3,,42710,,
69,14,2022년,연말연시,1,D+3,7,,266695,,
70,08,2022년,설날,2,D-3,1,,184747,,
71,04,2022년,설날,2,D+3,7,,30245,,
72,12,2022년,연말연시,1,D,4,,313972,,
73,06,2022년,연말연시,1,D+3,7,,179993,,
74,13,2022년,연말연시,1,D,4,,303432,,
75,14,2022년,설날,2,D-2,2,,303523,,
76,08,2022년,연말연시,1,D+3,7,,301347,,
77,17,2022년,설날,2,D+2,6,,286823,,
78,16,2022년,설날,2,D-2,2,,306158,,
79,20,2022년,연말연시,1,D+1,5,,174534,,
80,06,2022년,설날,2,D-1,3,,53883,,
81,22,2022년,설날,2,D+1,5,,98473,,
82,00,2022년,설날,2,D,4,,30286,,
83,15,2022년,설날,2,D,4,,370849,,
84,14,2022년,연말연시,1,D+2,6,,260278,,
85,11,2022년,연말연시,1,D,4,,302582,,
86,20,2022년,설날,2,D+2,6,,137074,,
87,08,2022년,연말연시,1,D,4,,122333,,
88,08,2022년,설날,2,D-1,3,,126834,,
89,18,2022년,추석,3,D-3,1,,323646,,
90,13,2022년,설날,2,D+2,6,,263153,,
91,14,2022년,설날,2,D-1,3,,298268,,
92,01,2022년,추석,3,D-3,1,,33580,,
93,17,2022년,설날,2,D+3,7,,319589,,
94,14,2022년,설날,2,D+2,6,,270815,,
95,04,2022년,추석,3,D-3,1,,45730,,
96,13,2022년,설날,2,D+1,5,,286561,,
97,22,2022년,설날,2,D+3,7,,96733,,
98,01,2022년,연말연시,1,D+3,7,,23247,,
99,21,2022년,설날,2,D+1,5,,141664,,
100,06,2022년,설날,2,D+2,6,,163677,,
101,00,2022년,설날,2,D-3,1,,58243,,
102,07,2022년,설날,2,D+2,6,,266899,,
103,08,2022년,설날,2,D+2,6,,283665,,
