,날짜,시간,서울기온,서울강수량,서울풍속,서울습도,서울시정,서울지면온도,부산기온,부산강수량,부산풍속,부산습도,부산시정,부산지면온도,대구기온,대구강수량,대구풍속,대구습도,대구시정,대구지면온도,대전기온,대전강수량,대전풍속,대전습도,대전시정,대전지면온도
0,2017-10-01,00,18.4,,1.3,83,513,15.1,18.6,,1.1,60,2000,15.5,14.6,,0.5,84,1811,12.5,15.5,,1.0,93,870,14.3
1,2017-10-01,01,18.0,,1.6,81,582,15.2,18.1,,2.1,44,2000,14.7,13.9,,1.2,88,1785,12.2,14.7,,0.9,95,758,13.7
2,2017-10-01,02,17.9,,1.8,81,561,15.5,17.8,,1.3,56,2000,14.2,13.1,,0.9,86,1625,11.4,14.3,,1.2,95,780,13.3
3,2017-10-01,03,17.7,,1.8,80,532,15.2,17.4,,0.7,51,2000,13.7,12.1,,1.5,92,1317,11.2,13.9,,0.0,95,741,13.5
4,2017-10-01,04,17.5,,1.3,79,604,15.4,16.8,,0.9,54,1865,14.3,12.2,,1.3,95,693,12.0,13.7,,1.2,94,900,13.4
5,2017-10-01,05,17.3,,1.9,79,628,15.5,16.8,,1.0,54,2000,14.6,12.2,,0.5,94,831,12.3,13.7,,0.2,95,802,13.6
6,2017-10-01,06,17.4,,2.0,77,736,15.7,16.8,,0.5,51,2000,14.8,12.2,,1.0,94,866,12.5,13.6,,1.1,91,1975,13.6
7,2017-10-01,07,17.3,,2.7,77,858,15.8,17.1,,0.7,53,2000,15.5,12.0,,0.4,91,1261,12.8,13.6,,0.3,94,1300,13.5
8,2017-10-01,08,17.6,,2.3,72,1030,17.1,18.5,,1.3,62,2000,17.5,12.6,,1.3,89,1379,15.6,14.2,,0.7,94,1385,15.8
9,2017-10-01,09,19.3,,1.5,63,1248,22.2,20.9,,1.6,61,1959,21.0,14.7,,0.4,76,1356,19.6,15.0,,0.0,88,2000,17.2
10,2017-10-01,10,20.5,,1.8,62,1379,22.9,21.5,,1.1,60,1894,22.1,15.8,,1.0,75,1567,23.8,15.9,,1.2,82,2000,18.0
