,시간,연도,추석기준,소요시간(분),날짜시간,통행량
0,0,2018,D-3,214.2245,2018-09-21 00:00:00,59442
1,1,2018,D-3,217.708,2018-09-21 01:00:00,39835
2,2,2018,D-3,220.658,2018-09-21 02:00:00,29280
3,3,2018,D-3,235.333,2018-09-21 03:00:00,27291
4,4,2018,D-3,248.283,2018-09-21 04:00:00,35327
5,5,2018,D-3,259.5443333333333,2018-09-21 05:00:00,77518
6,6,2018,D-3,260.383,2018-09-21 06:00:00,163669
7,7,2018,D-3,272.3915,2018-09-21 07:00:00,251764
8,8,2018,D-3,276.5745,2018-09-21 08:00:00,280439
9,9,2018,D-3,276.158,2018-09-21 09:00:00,245710
10,10,2018,D-3,282.8496666666666,2018-09-21 10:00:00,247784
11,11,2018,D-3,289.2,2018-09-21 11:00:00,248611
12,12,2018,D-3,301.405,2018-09-21 12:00:00,244211
13,13,2018,D-3,303.208,2018-09-21 13:00:00,264021
14,14,2018,D-3,304.6245,2018-09-21 14:00:00,285742
15,15,2018,D-3,312.416,2018-09-21 15:00:00,296559
16,16,2018,D-3,308.133,2018-09-21 16:00:00,304517
17,17,2018,D-3,306.6886666666666,2018-09-21 17:00:00,319342
18,18,2018,D-3,305.2245,2018-09-21 18:00:00,304172
19,19,2018,D-3,298.6165,2018-09-21 19:00:00,258132
20,20,2018,D-3,287.3245,2018-09-21 20:00:00,212171
21,21,2018,D-3,309.766,2018-09-21 21:00:00,179196
22,22,2018,D-3,321.2,2018-09-21 22:00:00,149191
23,23,2018,D-3,301.883,2018-09-21 23:00:00,112249
24,0,2018,D-2,289.7415,2018-09-22 00:00:00,80601
25,1,2018,D-2,286.35,2018-09-22 01:00:00,58863
26,2,2018,D-2,287.191,2018-09-22 02:00:00,47431
27,3,2018,D-2,285.833,2018-09-22 03:00:00,45375
28,4,2018,D-2,323.86633333333333,2018-09-22 04:00:00,55734
29,5,2018,D-2,282.8415,2018-09-22 05:00:00,88672
30,6,2018,D-2,329.07733333333334,2018-09-22 06:00:00,140577
31,7,2018,D-2,338.733,2018-09-22 07:00:00,174733
32,8,2018,D-2,331.733,2018-09-22 08:00:00,202078
33,9,2018,D-2,350.0663333333333,2018-09-22 09:00:00,230101
34,10,2018,D-2,349.5245,2018-09-22 10:00:00,257021
35,11,2018,D-2,375.7163333333333,2018-09-22 11:00:00,272094
36,12,2018,D-2,378.194,2018-09-22 12:00:00,266439
37,13,2018,D-2,375.594,2018-09-22 13:00:00,274229
38,14,2018,D-2,376.7886666666666,2018-09-22 14:00:00,283760
39,15,2018,D-2,368.8496666666666,2018-09-22 15:00:00,289739
40,16,2018,D-2,367.3995,2018-09-22 16:00:00,296612
41,17,2018,D-2,369.533,2018-09-22 17:00:00,287790
42,18,2018,D-2,365.733,2018-09-22 18:00:00,253535
43,19,2018,D-2,323.233,2018-09-22 19:00:00,206286
44,20,2018,D-2,379.933,2018-09-22 20:00:00,179137
45,21,2018,D-2,360.316,2018-09-22 21:00:00,160124
46,22,2018,D-2,340.316,2018-09-22 22:00:00,128098
47,23,2018,D-2,295.4665,2018-09-22 23:00:00,89008
48,0,2018,D-1,374.6163333333333,2018-09-23 00:00:00,86797
49,1,2018,D-1,365.42733333333325,2018-09-23 01:00:00,58643
50,2,2018,D-1,350.572,2018-09-23 02:00:00,46926
51,3,2018,D-1,333.5883333333333,2018-09-23 03:00:00,44371
52,4,2018,D-1,316.2663333333333,2018-09-23 04:00:00,50410
53,5,2018,D-1,332.011,2018-09-23 05:00:00,72666
54,6,2018,D-1,337.8163333333333,2018-09-23 06:00:00,108493
55,7,2018,D-1,311.6773333333333,2018-09-23 07:00:00,145497
56,8,2018,D-1,313.73866666666663,2018-09-23 08:00:00,191593
57,9,2018,D-1,338.572,2018-09-23 09:00:00,249426
58,10,2018,D-1,350.2606666666666,2018-09-23 10:00:00,298724
59,11,2018,D-1,370.6663333333333,2018-09-23 11:00:00,312788
60,12,2018,D-1,379.083,2018-09-23 12:00:00,309704
61,13,2018,D-1,391.783,2018-09-23 13:00:00,297035
62,14,2018,D-1,344.77733333333333,2018-09-23 14:00:00,302658
63,15,2018,D-1,341.6383333333333,2018-09-23 15:00:00,300251
64,16,2018,D-1,341.511,2018-09-23 16:00:00,291064
65,17,2018,D-1,344.8495,2018-09-23 17:00:00,272001
66,18,2018,D-1,327.316,2018-09-23 18:00:00,231332
67,19,2018,D-1,320.725,2018-09-23 19:00:00,188193
68,20,2018,D-1,309.77166666666665,2018-09-23 20:00:00,166291
69,21,2018,D-1,326.975,2018-09-23 21:00:00,143655
70,22,2018,D-1,356.866,2018-09-23 22:00:00,108563
71,23,2018,D-1,330.1,2018-09-23 23:00:00,72820
72,0,2019,D-3,240.866,2019-09-10 00:00:00,50352
73,1,2019,D-3,317.9745,2019-09-10 01:00:00,34152
